commonName,Type,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW150914,Binary Black Hole Collision,35.6,-3.1,4.7,30.6,-4.4,3,26,-0.2,0.1,440,-170,150,-0.01,-0.13,0.12,,,,28.6,-1.5,1.7,0.09,-0.03,0.03,1,63.1,-3,3.4
GW151012,Binary Black Hole Collision,23.2,-5.5,14.9,13.6,-4.8,4.1,10,,,1080,-490,550,0.05,-0.2,0.31,,,,15.2,-1.2,2.1,0.21,-0.09,0.09,1,35.6,-3.8,10.8
GW151226,Binary Black Hole Collision,13.7,-3.2,8.8,7.7,-2.5,2.2,13.1,,,450,-190,180,0.18,-0.12,0.2,,,,8.9,-0.3,0.3,0.09,-0.04,0.04,1,20.5,-1.5,6.4
GW170104,Binary Black Hole Collision,30.8,-5.6,7.3,20,-4.6,4.9,13.8,-0.3,0.2,990,-430,440,-0.04,-0.21,0.17,,,,21.4,-1.8,2.2,0.2,-0.08,0.08,1,48.9,-4,5.1
GW170608,Binary Black Hole Collision,11,-1.7,5.5,7.6,-2.2,1.4,15.4,,,320,-110,120,0.03,-0.07,0.19,,,,7.9,-0.2,0.2,0.07,-0.02,0.02,1,17.8,-0.7,3.4
GW170729,Binary Black Hole Collision,50.2,-10.2,16.2,34,-10.1,9.1,10.8,,,2840,-1360,1400,0.37,-0.25,0.21,,,,35.4,-4.8,6.5,0.49,-0.21,0.19,0.98,79.5,-10.2,14.7
GW170809,Binary Black Hole Collision,35,-5.9,8.3,23.8,-5.2,5.1,12.8,-0.3,0.2,1030,-390,320,0.08,-0.17,0.17,,,,24.9,-1.7,2.1,0.2,-0.07,0.05,1,56.3,-3.8,5.2
GW170814,Binary Black Hole Collision,30.6,-3,5.6,25.2,-4,2.8,17.7,-0.3,0.2,600,-220,150,0.07,-0.12,0.12,,,,24.1,-1.1,1.4,0.12,-0.04,0.03,1,53.2,-2.4,3.2
GW170817,Binary Neutron Star Collision,1.46,-0.1,0.12,1.27,-0.09,0.09,33,,,40,-15,7,0,-0.01,0.02,,,,1.186,-0.001,0.001,0.01,0,0,1,2.8,,
GW170818,Binary Black Hole Collision,35.4,-4.7,7.5,26.7,-5.2,4.3,12,-0.4,0.3,1060,-380,420,-0.09,-0.21,0.18,,,,26.5,-1.7,2.1,0.21,-0.07,0.07,1,59.4,-3.8,4.9
